Timestamp,SensorId,movement,shortMovement
27/11/2020 13:12,motion_detection_sensor_1,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
27/11/2020 13:12,motion_detection_sensor_1,TRUE,TRUE
27/11/2020 13:12,motion_detection_sensor_1,TRUE,FALSE
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
27/11/2020 13:12,motion_detection_sensor_1,FALSE,
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
27/11/2020 13:12,motion_detection_sensor_1,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_1,TRUE,
27/11/2020 13:12,motion_detection_sensor_0,TRUE,
27/11/2020 13:12,motion_detection_sensor_2,TRUE,
27/11/2020 13:12,motion_detection_sensor_1,FALSE,
27/11/2020 13:12,motion_detection_sensor_0,FALSE,
27/11/2020 13:12,motion_detection_sensor_2,FALSE,
